"filename", "language", "pip requirements", "Properties", "Python", "Markdown", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "SCSS", "Vue", "SVG", "HTML", "comment", "blank", "total"
"c:\Users\21756\Desktop\krl\examples\server\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21756\Desktop\krl\examples\server\src\main.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 36
"c:\Users\21756\Desktop\krl\requirements.txt", "pip requirements", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21756\Desktop\krl\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21756\Desktop\krl\src\api_type.py", "Python", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\21756\Desktop\krl\src\arg.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\21756\Desktop\krl\src\config\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21756\Desktop\krl\src\config\lex_config.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 65
"c:\Users\21756\Desktop\krl\src\gen_krl.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\21756\Desktop\krl\src\interpreter\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\21756\Desktop\krl\src\interpreter\global_symbols_utils.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 73
"c:\Users\21756\Desktop\krl\src\interpreter\mod.py", "Python", 0, 0, 538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 36, 595
"c:\Users\21756\Desktop\krl\src\lex.py", "Python", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 63
"c:\Users\21756\Desktop\krl\src\node\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21756\Desktop\krl\src\node\mod.py", "Python", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Users\21756\Desktop\krl\src\parser.py", "Python", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43, 213
"c:\Users\21756\Desktop\krl\src\parsetab.py", "Python", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 82
"c:\Users\21756\Desktop\krl\src\server.py", "Python", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 86
"c:\Users\21756\Desktop\krl\src\symbols\__init__.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\21756\Desktop\krl\src\symbols\error.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 44
"c:\Users\21756\Desktop\krl\src\symbols\record.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\21756\Desktop\krl\src\symbols\symbol.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
